hog	anaPla	aptFor	aptHaa	aptOwe	aptRow	aquChr	balReg	calAnn	casCas	chaPel	chaVoc	colLiv	corBra	cryCin	cucCan	droNov	egrGar	eudEle	falPer	ficAlb	fulGla	galGal	geoFor	halLeu	lepDis	melGal	melUnd	mesUni	nipNip	notPer	picPub	pseHum	pygAde	rheAme	rhePen	serCan	strCam	taeGut	tinGut	align_len	avg_gapped_len	avg_ident	gaps_bp_tot	gaps_bp_avg	missing_ct	dup_ct
13425	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	NA	792	728.91	88.75	0.02	0.03	1	0
13426	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	863	617.31	84.26	0.14	0.26	0	2
13427	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	628	511.44	95.15	0.07	0.09	0	0
13429	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	NA	1	1	1	1	1	1	1	1	1	564	477.5	88.86	0.07	0.06	1	0
13430	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1054	969.12	96.37	0.03	0.03	0	0
13431	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	661	592.26	91.48	0.02	0.02	0	0
13432	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	902	874.3	95.42	0.01	0.01	0	0
13434	1	1	NA	NA	NA	1	1	1	NA	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	NA	1	1	1	1	1	216	191.66	79.29	0.04	0.04	5	0
13435	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	326	252.27	81.39	0.01	0.01	0	1
13436	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	NA	NA	1	1	1	1	289	257.84	87.36	0.07	0.1	2	0
13438	1	1	1	1	1	1	1	NA	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	818	471.67	82.71	0.23	0.21	1	0
13439	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	NA	1	1	1	1	1	1	1	1	1	1	1	1	1	1	619	413.98	97.12	0.06	0.08	1	0
1344	NA	NA	1	1	1	1	1	NA	1	NA	1	1	1	1	1	1	1	1	1	1	NA	NA	1	1	1	1	NA	NA	1	1	1	1	1	1	1	1	1	1	1	673	439.64	85.58	0.21	0.28	8	0
13441	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	807	761.53	97	0	0	0	0
13442	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	703	628.98	84.3	0.04	0.05	0	1
13445	1	1	1	1	NA	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	449	347.14	92.44	0.13	0.46	1	0
13446	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	443	356.14	91.13	0.04	0.05	0	0
13448	1	1	1	1	1	1	NA	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	NA	1	1	1	1	1	1	1	1	1	1	1	1	1	810	696.19	73.17	0.07	0.1	2	0
13449	1	1	1	1	1	1	1	NA	NA	1	1	1	NA	NA	1	NA	1	NA	NA	NA	1	1	NA	1	1	1	NA	NA	1	NA	NA	NA	1	NA	1	NA	1	NA	1	336	311.32	80.28	0.03	0.04	17	0
13450	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	760	628.48	95.36	0.02	0.02	0	0
13451	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	381	305.21	89.98	0.17	0.17	0	1
13452	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	447	371.93	87.97	0.03	0.03	0	0
13454	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	847	580.95	88.07	0.06	1.3	0	0
13456	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	421	373.4	85.07	0.02	0.08	0	0
13458	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	794	741.48	92.48	0.04	0.04	0	0
13459	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	464	430.84	93.3	0.03	0.15	0	0
13461	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	NA	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1490	1284.33	95.08	0.1	0.16	1	0
13463	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	462	345.3	88.32	0.09	0.08	0	0
13464	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	NA	1	1	1	1	1	1	1	1	1	1	1	1	1	1	906	831.12	91.48	0.03	0.04	1	0
13466	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	363	320.49	96.49	0.03	0.12	0	0
13467	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1806	1661.93	93.74	0.04	0.37	0	0
13468	1	1	1	1	1	2	NA	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	NA	1	1	1	1	1	1401	1036.04	84.63	0.04	0.04	2	2
13469	1	1	1	1	1	1	1	1	1	1	1	NA	1	1	1	1	1	1	1	1	1	1	1	1	1	1	NA	1	1	1	1	1	1	1	1	1	1	NA	1	947	846.6	77.15	0.02	0.03	3	0
13470	1	1	NA	1	NA	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	NA	1	1	1	1	1	1	1	1	1	1	1	NA	1	1	1	NA	1	1	282	240.49	89.82	0.05	0.06	5	0
13471	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	NA	1	1	1	1	1	1	1	1	1	1	1	996	952.26	93.2	0.01	0.02	1	0
13474	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	863	756.44	73.57	0.05	0.11	0	0
13475	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	795	694.58	94.03	0.03	0.03	0	0
13476	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	469	425.42	80.69	0.01	0.01	0	1
13477	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	867	720.05	91.41	0.08	0.1	0	0
13478	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	NA	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	922	895	90.31	0	0	1	0
1348	1	NA	1	1	1	NA	NA	1	NA	1	1	1	1	1	1	1	1	1	1	1	NA	1	1	NA	NA	1	1	NA	1	1	1	1	1	NA	1	1	1	1	1	473	293.92	93.28	0.39	0.47	9	0
13480	NA	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	NA	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	581	435.59	92.81	0.09	0.12	2	0
13481	NA	1	1	1	1	1	NA	1	1	1	NA	1	1	NA	NA	1	NA	NA	1	1	NA	1	NA	1	NA	1	1	NA	NA	NA	1	1	NA	1	1	1	NA	NA	NA	687	576.92	83.85	0.14	0.2	17	0
13485	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	436	370.45	97.75	0.03	0.03	0	0
1349	1	1	1	1	1	1	NA	1	1	1	1	1	1	1	1	1	1	1	1	1	NA	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	NA	1	NA	790	493.91	93.49	0.47	0.95	4	0
13502	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	827	766.57	83.36	0.03	0.03	0	0
13512	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1158	1130.67	93.05	0	0	0	0
13524	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	481	401.45	94.18	0.03	0.03	0	0
13527	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	NA	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	991	852.93	92.35	0.08	0.08	1	0
13528	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	678	654.48	92.89	0.02	0.02	0	0
13545	1	1	1	1	NA	1	1	1	1	1	NA	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	NA	1	1	NA	1	1	1	1	1	1	1	1	271	229.67	72.66	0.05	0.06	4	1
1355	1	1	1	1	1	1	NA	1	1	1	1	1	1	1	1	1	1	1	1	1	NA	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	981	735.89	88.17	0.11	0.14	2	0
13552	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	323	310.77	91.53	0	0	0	0
13553	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	627	606.53	85.88	0.01	0.01	0	1
13555	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	565	442.1	90.36	0.06	0.06	0	0
1356	1	1	1	NA	NA	1	NA	1	1	1	1	NA	1	1	1	1	1	1	1	1	1	1	NA	1	1	NA	1	1	NA	1	1	1	NA	1	1	NA	1	1	NA	272	128.78	82.25	0.37	0.42	10	0
13571	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	285	276.9	86.62	0	0	0	0
1358	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	3	1	1	1	1	475	409.35	90.74	0.03	0.05	0	1
13589	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	998	869.79	74.7	0.11	0.15	0	0
1359	1	1	1	1	1	1	1	1	1	1	1	1	NA	1	NA	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	228	110.7	87.99	0.25	0.24	2	0
13601	1	1	NA	NA	NA	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	NA	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	258	199.92	96.25	0.01	0.01	4	0
1362	NA	1	1	1	1	1	NA	1	1	1	1	1	1	1	1	1	1	1	1	1	NA	1	1	1	1	1	1	NA	1	1	1	1	1	NA	NA	1	NA	1	1	1403	913.4	95.16	0.21	0.33	7	0
1363	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	216	153.51	94.58	0.14	0.15	0	1
1364	NA	1	1	1	1	1	NA	1	1	1	NA	1	NA	1	1	1	NA	1	1	1	NA	1	NA	1	1	1	1	NA	1	1	1	1	NA	1	1	1	NA	1	1	506	395.06	91.64	0.08	0.1	10	0
13643	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	394	323.76	96.32	0.01	0.01	0	0
13673	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1278	1081.69	91.92	0.09	0.09	0	0
1368	1	1	1	1	1	1	NA	NA	1	NA	NA	1	1	NA	1	1	NA	NA	1	1	NA	1	NA	NA	NA	1	NA	NA	1	1	1	1	NA	1	1	1	NA	NA	NA	535	314.06	78.79	0.47	0.65	17	0
13698	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	253	203.9	93.25	0.07	0.08	0	0
13700	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	396	335.55	95.42	0.08	0.08	0	0
13708	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	330	245.98	92.13	0.08	0.08	0	0
13717	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	NA	1	1	1	484	399.37	83.98	0.09	0.11	1	0
13719	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	353	335.22	74.45	0.03	0.03	0	2
1372	1	1	1	1	1	1	NA	1	1	1	1	1	NA	1	1	1	NA	1	1	NA	1	1	NA	1	1	1	NA	NA	2	1	1	NA	1	1	1	NA	1	NA	1	658	342.37	67.37	0.4	0.62	10	1
13726	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	805	795.67	85.98	0.01	0.01	0	0
1373	1	NA	1	1	1	1	1	NA	1	1	1	NA	1	1	NA	NA	1	1	NA	NA	1	1	NA	1	1	1	NA	1	1	NA	1	NA	1	NA	NA	1	1	1	NA	281	111.72	87.8	0.59	0.61	14	0
1374	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	NA	1	1	1	1	1	1	1	1	NA	1	1	1	1	1	1	1	1	1	1	1	1	1	1	555	446.85	93.81	0.09	0.24	2	0
13740	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	622	408.81	97.67	0.06	0.06	0	0
13744	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	230	229.67	96.22	0	0	0	1
1375	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	NA	1	1	1	1	1	1	1	1	1	1	1	1	1516	1122.92	93.27	0.14	0.65	1	0
13751	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	NA	480	416.46	87.68	0.07	0.07	1	0
1376	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2277	1814.54	94.36	0.04	0.07	0	0
13766	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	454	423.89	83.07	0.03	0.04	0	0
13767	NA	1	1	1	1	1	NA	NA	1	NA	NA	1	NA	1	NA	1	1	1	NA	1	NA	1	NA	NA	NA	1	NA	1	1	1	NA	NA	NA	1	1	NA	NA	1	1	217	201.19	95.65	0	0	18	0
13768	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	717	599.55	68.66	0.08	0.08	0	0
1377	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	795	727.81	93.63	0.02	0.04	0	0
13774	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	NA	NA	1	1	1	1	1	1	1	1	520	509.36	83.07	0.02	0.03	2	0
13775	1	1	1	1	1	1	1	NA	1	1	1	1	1	1	NA	1	1	1	NA	1	1	1	1	1	1	NA	1	NA	1	1	NA	1	1	1	1	1	1	1	1	446	358.17	79.06	0.11	0.12	6	0
13778	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	NA	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	292	240.41	98.11	0.03	0.03	1	0
13783	1	1	1	1	1	1	1	1	NA	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	666	553.85	92.98	0.02	0.02	1	0
13787	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	502	448.17	98.37	0.02	0.02	0	0
13810	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	3033	2834.69	92.11	0.02	0.03	0	0
1382	1	1	1	1	1	1	NA	1	NA	1	1	1	1	NA	1	NA	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	NA	NA	1	1	1	1	234	93.15	93.29	0.27	0.26	6	0
1384	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	463	352.23	92.91	0.17	0.46	0	1
13840	1	1	1	1	1	1	1	1	NA	1	1	1	1	NA	1	NA	1	1	1	NA	1	1	1	1	1	1	1	1	1	1	1	1	1	NA	1	1	1	1	1	328	321.83	91.01	0	0	5	0
1385	1	1	1	1	1	1	1	1	1	1	2	1	3	1	3	1	1	1	1	1	1	1	3	1	1	1	1	NA	1	1	1	1	1	1	1	2	1	2	1	1208	960.54	83.36	0.03	0.05	1	6
13887	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	298	288.43	90.35	0	0	0	0
13888	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	424	398.77	94.65	0.02	0.03	0	1
1389	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1331	1097.21	81.84	0.07	0.21	0	1
13890	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	653	458.55	96.12	0.07	0.07	0	0
13898	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	NA	1	1	1	1	1	194	192.24	98.76	0	0	1	0
1390	1	1	1	1	1	1	2	1	1	2	2	2	1	1	1	1	2	1	1	1	2	2	1	2	1	1	2	2	2	1	1	1	2	1	1	1	2	1	1	262	150.88	84.81	0.09	0.09	0	13
13903	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	NA	472	438.68	79.91	0.03	0.03	1	0
13921	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	250	187.86	96.18	0.04	0.04	0	0
1393	1	1	1	1	1	1	NA	1	NA	1	1	1	1	1	1	1	1	1	1	1	NA	1	1	1	1	1	1	NA	1	1	1	1	1	1	1	1	1	1	NA	590	379.4	94.54	0.2	0.35	5	0
13939	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	448	417.9	94.55	0.02	0.02	0	0
1395	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	896	602.07	90.32	0.13	0.51	0	0
13955	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	958	827.4	88.46	0.07	0.09	0	0
13959	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	NA	1	1	1	1	1	1	321	272.6	73.09	0.1	0.12	1	0
1396	1	1	1	1	1	1	1	1	1	1	1	1	1	NA	1	1	NA	NA	1	1	NA	1	1	1	1	NA	1	1	1	1	1	1	1	NA	NA	1	1	1	1	1964	1599.64	81.96	0.11	0.24	7	0
13962	1	1	1	1	1	1	NA	1	1	1	1	1	1	1	1	1	1	1	1	1	NA	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	NA	1	1	256	219.92	70.51	0.02	0.02	3	0
13966	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	584	547.36	93.81	0.01	0.01	0	0
13969	1	NA	1	1	1	1	NA	1	1	NA	NA	NA	NA	1	1	1	NA	1	1	2	NA	1	NA	1	NA	1	NA	1	NA	1	NA	1	NA	1	1	1	1	1	1	79	75.36	98.69	0	0	14	1
13970	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	624	437.29	86.88	0.15	0.15	0	0
13971	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	107	105.93	87.95	0.01	0.01	0	1
13986	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	NA	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	920	726.6	86.94	0.22	0.81	1	0
14008	1	1	1	1	NA	1	1	1	NA	1	1	1	1	1	1	NA	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	501	349	83.5	0.17	0.18	3	0
14014	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	577	535.74	87.09	0	0	0	0
14015	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	613	587.07	94.84	0.01	0.01	0	0
14029	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	249	199.28	98.21	0.09	0.09	0	1
14038	1	1	1	NA	1	1	1	1	1	1	1	1	1	1	1	NA	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	341	327.4	95.82	0.02	0.03	2	0
14040	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	773	656.78	97.75	0.06	0.07	0	1
14048	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	906	814.19	90.02	0.05	0.05	0	0
1405	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2123	1839.96	98.08	0.02	0.16	0	0
14057	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	NA	1	1	1	1	1	1	1	1	1	1	1	1	1	1096	1004.93	92.73	0.02	0.02	1	0
14058	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	NA	NA	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2151	1937.67	70.81	0.03	0.04	2	0
14059	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	761	682.85	94.67	0.01	0.01	0	0
1406	NA	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	603	474.13	94.91	0.07	0.22	1	1
14061	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	236	193.34	88.51	0.02	0.02	0	2
14069	1	1	1	1	1	1	1	1	1	1	1	1	1	NA	1	1	1	1	1	1	1	NA	1	1	1	1	1	1	1	NA	1	1	1	1	1	1	1	1	1	583	575.08	91.36	0	0	3	0
1407	1	NA	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	NA	NA	1	1	1	1	1	1	1	1	1	1	1	1	1	795	650.38	95.62	0.06	0.12	3	0
1408	1	1	1	1	1	1	NA	NA	1	NA	1	1	NA	1	1	1	1	1	1	NA	NA	NA	NA	1	NA	1	1	NA	1	1	NA	NA	NA	1	1	NA	1	NA	NA	649	489.14	83.73	0.15	0.18	16	0
