# Assembly name:  Gallus_gallus-4.0
# Organism name:  Gallus gallus (chicken)
# Infraspecific name:  breed=Red Jungle fowl, inbred line UCD001
# Isolate:  #256
# Sex:  female
# Taxid:          9031
# BioSample:      SAMN02981218
# BioProject:     PRJNA10808
# Submitter:      International Chicken Genome Consortium
# Date:           2011-11-22
# Synonyms:       galGal4	
# Assembly type:  haploid
# Release type:   major
# Assembly level: Chromosome
# Genome representation: full
# WGS project:    AADN03
# Assembly method: Celera Assembler v. 5.4
# Genome coverage: 12X
# Sequencing technology: Sanger; 454
# GenBank assembly accession: GCA_000002315.2
# RefSeq assembly accession: GCF_000002315.3
# RefSeq assembly and GenBank assemblies identical: no
#
## Assembly-Units:
## GenBank Unit Accession	RefSeq Unit Accession	Assembly-Unit name
## GCA_000000185.2	GCF_000000185.2	Primary Assembly
## 	GCF_000184395.1	non-nuclear
#
# Ordered by chromosome/plasmid; the chromosomes/plasmids are followed by
# unlocalized scaffolds.
# Unplaced scaffolds are listed at the end.
# RefSeq is equal or derived from GenBank object.
#
# Sequence-Name	Sequence-Role	Assigned-Molecule	Assigned-Molecule-Location/Type	GenBank-Accn	Relationship	RefSeq-Accn	Assembly-Unit	Sequence-Length	UCSC-style-name
Chr2_random_deg7180000926486	unlocalized-scaffold	2	Chromosome	AADN03009980.1	=	NW_003765063.1	Primary Assembly	796	chr2_AADN03009980_random
Chr2_random_deg7180000926487	unlocalized-scaffold	2	Chromosome	AADN03009981.1	=	NW_003765064.1	Primary Assembly	857	chr2_AADN03009981_random
Chr2_random_deg7180000928837	unlocalized-scaffold	2	Chromosome	AADN03009982.1	=	NW_003765065.1	Primary Assembly	704	chr2_AADN03009982_random
Chr2_random_deg7180000930992	unlocalized-scaffold	2	Chromosome	AADN03009983.1	=	NW_003765066.1	Primary Assembly	720	chr2_AADN03009983_random
Chr2_random_deg7180000932589	unlocalized-scaffold	2	Chromosome	AADN03009984.1	=	NW_003765067.1	Primary Assembly	917	chr2_AADN03009984_random
Chr2_random_deg7180000939734	unlocalized-scaffold	2	Chromosome	AADN03009985.1	=	NW_003765068.1	Primary Assembly	542	chr2_AADN03009985_random
Chr2_random_deg7180000946210	unlocalized-scaffold	2	Chromosome	AADN03009986.1	=	NW_003765069.1	Primary Assembly	675	chr2_AADN03009986_random
Chr2_random_deg7180000947662	unlocalized-scaffold	2	Chromosome	AADN03009987.1	=	NW_003765070.1	Primary Assembly	762	chr2_AADN03009987_random
Chr2_random_deg7180000950980	unlocalized-scaffold	2	Chromosome	AADN03009988.1	=	NW_003765071.1	Primary Assembly	814	chr2_AADN03009988_random
Chr2_random_deg7180000952877	unlocalized-scaffold	2	Chromosome	AADN03009989.1	=	NW_003765072.1	Primary Assembly	615	chr2_AADN03009989_random
Chr2_random_deg7180000952879	unlocalized-scaffold	2	Chromosome	AADN03009990.1	=	NW_003765073.1	Primary Assembly	870	chr2_AADN03009990_random
Chr2_random_deg7180000952948	unlocalized-scaffold	2	Chromosome	AADN03009991.1	=	NW_003765074.1	Primary Assembly	739	chr2_AADN03009991_random
Chr2_random_deg7180000953649	unlocalized-scaffold	2	Chromosome	AADN03009992.1	=	NW_003765075.1	Primary Assembly	3862	chr2_AADN03009992_random
Chr2_random_deg7180000954520	unlocalized-scaffold	2	Chromosome	AADN03009993.1	=	NW_003765076.1	Primary Assembly	796	chr2_AADN03009993_random
Chr2_random_deg7180000957075	unlocalized-scaffold	2	Chromosome	AADN03009994.1	=	NW_003765077.1	Primary Assembly	3427	chr2_AADN03009994_random
Chr2_random_deg7180000958286	unlocalized-scaffold	2	Chromosome	AADN03009995.1	=	NW_003765078.1	Primary Assembly	629	chr2_AADN03009995_random
Chr2_random_7180000962259	unlocalized-scaffold	2	Chromosome	JH375155.1	=	NW_003764843.1	Primary Assembly	14358	chr2_JH375155_random
Chr2_random_7180000963522	unlocalized-scaffold	2	Chromosome	JH375156.1	=	NW_003764848.1	Primary Assembly	4933	chr2_JH375156_random
Chr2_random_7180000963969	unlocalized-scaffold	2	Chromosome	JH375157.1	=	NW_003764853.1	Primary Assembly	2502	chr2_JH375157_random
Chr2_random_7180000965154	unlocalized-scaffold	2	Chromosome	JH375158.1	=	NW_003764863.1	Primary Assembly	35164	chr2_JH375158_random
Chr2_random_7180000966243	unlocalized-scaffold	2	Chromosome	JH375159.1	=	NW_003764868.1	Primary Assembly	72379	chr2_JH375159_random
Chr2_random_7180000973837	unlocalized-scaffold	2	Chromosome	JH375160.1	=	NW_003764894.1	Primary Assembly	4328	chr2_JH375160_random
Chr2_random_7180000979125	unlocalized-scaffold	2	Chromosome	JH375161.1	=	NW_003764918.1	Primary Assembly	17145	chr2_JH375161_random
Chr2_random_7180000979175	unlocalized-scaffold	2	Chromosome	JH375162.1	=	NW_003764920.1	Primary Assembly	6915	chr2_JH375162_random
Chr2_random_7180000979643	unlocalized-scaffold	2	Chromosome	JH375163.1	=	NW_003764924.1	Primary Assembly	5691	chr2_JH375163_random
Chr2_random_7180000979700	unlocalized-scaffold	2	Chromosome	JH375164.1	=	NW_003764925.1	Primary Assembly	24207	chr2_JH375164_random
Chr2_random_7180000979723	unlocalized-scaffold	2	Chromosome	JH375165.1	=	NW_003764926.1	Primary Assembly	3142	chr2_JH375165_random
Chr3_random_7180000962291	unlocalized-scaffold	3	Chromosome	AADN03009996.1	=	NW_003765079.1	Primary Assembly	1262	chr3_AADN03009996_random
Chr3_random_7180000968368	unlocalized-scaffold	3	Chromosome	AADN03009997.1	=	NW_003765086.1	Primary Assembly	1009	chr3_AADN03009997_random
Chr3_random_7180000972555	unlocalized-scaffold	3	Chromosome	AADN03009998.1	=	NW_003765090.1	Primary Assembly	1301	chr3_AADN03009998_random
Chr3_random_7180000976431	unlocalized-scaffold	3	Chromosome	AADN03010000.1	=	NW_003765097.1	Primary Assembly	1195	chr3_AADN03010000_random
Chr3_random_7180000973553	unlocalized-scaffold	3	Chromosome	AADN03010001.1	=	NW_003765093.1	Primary Assembly	1468	chr3_AADN03010001_random
Chr3_random_7180000971653	unlocalized-scaffold	3	Chromosome	AADN03010003.1	=	NW_003765089.1	Primary Assembly	1518	chr3_AADN03010003_random
Chr3_random_7180000963642	unlocalized-scaffold	3	Chromosome	AADN03010004.1	=	NW_003765080.1	Primary Assembly	1107	chr3_AADN03010004_random
Chr3_random_7180000972556	unlocalized-scaffold	3	Chromosome	AADN03010005.1	=	NW_003765091.1	Primary Assembly	1394	chr3_AADN03010005_random
Chr3_random_7180000968205	unlocalized-scaffold	3	Chromosome	AADN03010006.1	=	NW_003765085.1	Primary Assembly	362	chr3_AADN03010006_random
Chr3_random_7180000964843	unlocalized-scaffold	3	Chromosome	AADN03010009.1	=	NW_003765083.1	Primary Assembly	1055	chr3_AADN03010009_random
Chr3_random_7180000963843	unlocalized-scaffold	3	Chromosome	AADN03010010.1	=	NW_003765081.1	Primary Assembly	1117	chr3_AADN03010010_random
Chr3_random_7180000966200	unlocalized-scaffold	3	Chromosome	AADN03010011.1	=	NW_003765084.1	Primary Assembly	1104	chr3_AADN03010011_random
Chr3_random_7180000973227	unlocalized-scaffold	3	Chromosome	AADN03010012.1	=	NW_003765092.1	Primary Assembly	1179	chr3_AADN03010012_random
Chr3_random_7180000963966	unlocalized-scaffold	3	Chromosome	AADN03010013.1	=	NW_003765082.1	Primary Assembly	1722	chr3_AADN03010013_random
Chr3_random_7180000973856	unlocalized-scaffold	3	Chromosome	AADN03010014.1	=	NW_003765094.1	Primary Assembly	1422	chr3_AADN03010014_random
Chr3_random_7180000975478	unlocalized-scaffold	3	Chromosome	AADN03010015.1	=	NW_003765096.1	Primary Assembly	1093	chr3_AADN03010015_random
Chr3_random_7180000971651	unlocalized-scaffold	3	Chromosome	AADN03010016.1	=	NW_003765088.1	Primary Assembly	1199	chr3_AADN03010016_random
Chr3_random_7180000973944	unlocalized-scaffold	3	Chromosome	AADN03010017.1	=	NW_003765095.1	Primary Assembly	1378	chr3_AADN03010017_random
Chr3_random_deg7180000659484	unlocalized-scaffold	3	Chromosome	AADN03010018.1	=	NW_003765099.1	Primary Assembly	1010	chr3_AADN03010018_random
Chr3_random_deg7180000681683	unlocalized-scaffold	3	Chromosome	AADN03010019.1	=	NW_003765100.1	Primary Assembly	510	chr3_AADN03010019_random
Chr3_random_deg7180000730833	unlocalized-scaffold	3	Chromosome	AADN03010020.1	=	NW_003765101.1	Primary Assembly	554	chr3_AADN03010020_random
Chr3_random_deg7180000748546	unlocalized-scaffold	3	Chromosome	AADN03010021.1	=	NW_003765102.1	Primary Assembly	720	chr3_AADN03010021_random
Chr3_random_deg7180000792755	unlocalized-scaffold	3	Chromosome	AADN03010022.1	=	NW_003765103.1	Primary Assembly	641	chr3_AADN03010022_random
Chr3_random_deg7180000801754	unlocalized-scaffold	3	Chromosome	AADN03010023.1	=	NW_003765104.1	Primary Assembly	523	chr3_AADN03010023_random
Chr3_random_deg7180000802239	unlocalized-scaffold	3	Chromosome	AADN03010024.1	=	NW_003765105.1	Primary Assembly	639	chr3_AADN03010024_random
Chr3_random_deg7180000866352	unlocalized-scaffold	3	Chromosome	AADN03010025.1	=	NW_003765106.1	Primary Assembly	895	chr3_AADN03010025_random
Chr3_random_deg7180000866437	unlocalized-scaffold	3	Chromosome	AADN03010026.1	=	NW_003765107.1	Primary Assembly	2301	chr3_AADN03010026_random
Chr3_random_deg7180000867948	unlocalized-scaffold	3	Chromosome	AADN03010027.1	=	NW_003765108.1	Primary Assembly	1608	chr3_AADN03010027_random
Chr3_random_deg7180000867950	unlocalized-scaffold	3	Chromosome	AADN03010028.1	=	NW_003765109.1	Primary Assembly	1434	chr3_AADN03010028_random
Chr3_random_deg7180000868733	unlocalized-scaffold	3	Chromosome	AADN03010029.1	=	NW_003765110.1	Primary Assembly	1435	chr3_AADN03010029_random
Chr3_random_deg7180000869024	unlocalized-scaffold	3	Chromosome	AADN03010030.1	=	NW_003765111.1	Primary Assembly	1450	chr3_AADN03010030_random
Chr3_random_deg7180000869027	unlocalized-scaffold	3	Chromosome	AADN03010031.1	=	NW_003765112.1	Primary Assembly	1289	chr3_AADN03010031_random
Chr3_random_deg7180000869876	unlocalized-scaffold	3	Chromosome	AADN03010032.1	=	NW_003765113.1	Primary Assembly	1127	chr3_AADN03010032_random
Chr3_random_deg7180000876315	unlocalized-scaffold	3	Chromosome	AADN03010033.1	=	NW_003765114.1	Primary Assembly	840	chr3_AADN03010033_random
Chr3_random_deg7180000876511	unlocalized-scaffold	3	Chromosome	AADN03010034.1	=	NW_003765115.1	Primary Assembly	670	chr3_AADN03010034_random
Chr3_random_deg7180000876828	unlocalized-scaffold	3	Chromosome	AADN03010035.1	=	NW_003765116.1	Primary Assembly	858	chr3_AADN03010035_random
Chr3_random_deg7180000876831	unlocalized-scaffold	3	Chromosome	AADN03010036.1	=	NW_003765117.1	Primary Assembly	1780	chr3_AADN03010036_random
Chr3_random_deg7180000876832	unlocalized-scaffold	3	Chromosome	AADN03010037.1	=	NW_003765118.1	Primary Assembly	920	chr3_AADN03010037_random
Chr3_random_deg7180000877694	unlocalized-scaffold	3	Chromosome	AADN03010038.1	=	NW_003765119.1	Primary Assembly	1726	chr3_AADN03010038_random
Chr3_random_deg7180000877778	unlocalized-scaffold	3	Chromosome	AADN03010039.1	=	NW_003765120.1	Primary Assembly	676	chr3_AADN03010039_random
Chr3_random_deg7180000877807	unlocalized-scaffold	3	Chromosome	AADN03010040.1	=	NW_003765121.1	Primary Assembly	647	chr3_AADN03010040_random
Chr3_random_deg7180000881465	unlocalized-scaffold	3	Chromosome	AADN03010041.1	=	NW_003765122.1	Primary Assembly	977	chr3_AADN03010041_random
Chr3_random_deg7180000882072	unlocalized-scaffold	3	Chromosome	AADN03010042.1	=	NW_003765123.1	Primary Assembly	841	chr3_AADN03010042_random
Chr3_random_deg7180000884505	unlocalized-scaffold	3	Chromosome	AADN03010043.1	=	NW_003765124.1	Primary Assembly	842	chr3_AADN03010043_random
Chr3_random_deg7180000885519	unlocalized-scaffold	3	Chromosome	AADN03010044.1	=	NW_003765125.1	Primary Assembly	960	chr3_AADN03010044_random
Chr3_random_deg7180000886853	unlocalized-scaffold	3	Chromosome	AADN03010045.1	=	NW_003765126.1	Primary Assembly	2626	chr3_AADN03010045_random
Chr3_random_deg7180000889822	unlocalized-scaffold	3	Chromosome	AADN03010046.1	=	NW_003765127.1	Primary Assembly	766	chr3_AADN03010046_random
Chr3_random_deg7180000893444	unlocalized-scaffold	3	Chromosome	AADN03010047.1	=	NW_003765128.1	Primary Assembly	1456	chr3_AADN03010047_random
Chr3_random_deg7180000893445	unlocalized-scaffold	3	Chromosome	AADN03010048.1	=	NW_003765129.1	Primary Assembly	1882	chr3_AADN03010048_random
Chr3_random_deg7180000893446	unlocalized-scaffold	3	Chromosome	AADN03010049.1	=	NW_003765130.1	Primary Assembly	1295	chr3_AADN03010049_random
Chr3_random_deg7180000893448	unlocalized-scaffold	3	Chromosome	AADN03010050.1	=	NW_003765131.1	Primary Assembly	1065	chr3_AADN03010050_random
Chr3_random_deg7180000893505	unlocalized-scaffold	3	Chromosome	AADN03010051.1	=	NW_003765132.1	Primary Assembly	906	chr3_AADN03010051_random
Chr3_random_deg7180000893817	unlocalized-scaffold	3	Chromosome	AADN03010052.1	=	NW_003765133.1	Primary Assembly	1406	chr3_AADN03010052_random
Chr3_random_deg7180000894725	unlocalized-scaffold	3	Chromosome	AADN03010053.1	=	NW_003765134.1	Primary Assembly	750	chr3_AADN03010053_random
Chr3_random_deg7180000895015	unlocalized-scaffold	3	Chromosome	AADN03010054.1	=	NW_003765135.1	Primary Assembly	599	chr3_AADN03010054_random
Chr3_random_deg7180000895096	unlocalized-scaffold	3	Chromosome	AADN03010055.1	=	NW_003765136.1	Primary Assembly	816	chr3_AADN03010055_random
Chr3_random_deg7180000895977	unlocalized-scaffold	3	Chromosome	AADN03010056.1	=	NW_003765137.1	Primary Assembly	910	chr3_AADN03010056_random
Chr3_random_deg7180000900942	unlocalized-scaffold	3	Chromosome	AADN03010057.1	=	NW_003765138.1	Primary Assembly	520	chr3_AADN03010057_random
Chr3_random_deg7180000902694	unlocalized-scaffold	3	Chromosome	AADN03010058.1	=	NW_003765139.1	Primary Assembly	819	chr3_AADN03010058_random
Chr3_random_deg7180000925632	unlocalized-scaffold	3	Chromosome	AADN03010059.1	=	NW_003765140.1	Primary Assembly	2095	chr3_AADN03010059_random
Chr3_random_deg7180000937528	unlocalized-scaffold	3	Chromosome	AADN03010060.1	=	NW_003765141.1	Primary Assembly	565	chr3_AADN03010060_random
Chr3_random_deg7180000946621	unlocalized-scaffold	3	Chromosome	AADN03010061.1	=	NW_003765142.1	Primary Assembly	745	chr3_AADN03010061_random
Chr3_random_deg7180000949230	unlocalized-scaffold	3	Chromosome	AADN03010062.1	=	NW_003765143.1	Primary Assembly	774	chr3_AADN03010062_random
Chr3_random_deg7180000958348	unlocalized-scaffold	3	Chromosome	AADN03010063.1	=	NW_003765144.1	Primary Assembly	957	chr3_AADN03010063_random
Chr3_random_7180000971208	unlocalized-scaffold	3	Chromosome	JH375166.1	=	NW_003765087.1	Primary Assembly	3431	chr3_JH375166_random
Chr3_random_7180000979237	unlocalized-scaffold	3	Chromosome	JH375167.1	=	NW_003765098.1	Primary Assembly	12169	chr3_JH375167_random
Chr4_random_7180000962868	unlocalized-scaffold	4	Chromosome	AADN03010064.1	=	NW_003765149.1	Primary Assembly	20425	chr4_AADN03010064_random
Chr4_random_7180000964151	unlocalized-scaffold	4	Chromosome	AADN03010066.1	=	NW_003765151.1	Primary Assembly	1246	chr4_AADN03010066_random
Chr4_random_7180000972819	unlocalized-scaffold	4	Chromosome	AADN03010067.1	=	NW_003765167.1	Primary Assembly	1125	chr4_AADN03010067_random
Chr4_random_7180000973474	unlocalized-scaffold	4	Chromosome	AADN03010070.1	=	NW_003765172.1	Primary Assembly	1131	chr4_AADN03010070_random
Chr4_random_7180000971331	unlocalized-scaffold	4	Chromosome	AADN03010072.1	=	NW_003765161.1	Primary Assembly	1707	chr4_AADN03010072_random
Chr4_random_7180000965656	unlocalized-scaffold	4	Chromosome	AADN03010075.1	=	NW_003765153.1	Primary Assembly	1106	chr4_AADN03010075_random
Chr4_random_7180000972901	unlocalized-scaffold	4	Chromosome	AADN03010076.1	=	NW_003765168.1	Primary Assembly	1681	chr4_AADN03010076_random
Chr4_random_7180000979387	unlocalized-scaffold	4	Chromosome	AADN03010077.1	=	NW_003765188.1	Primary Assembly	14922	chr4_AADN03010077_random
Chr4_random_7180000975448	unlocalized-scaffold	4	Chromosome	AADN03010079.1	=	NW_003765181.1	Primary Assembly	1764	chr4_AADN03010079_random
Chr4_random_7180000970617	unlocalized-scaffold	4	Chromosome	AADN03010083.1	=	NW_003765158.1	Primary Assembly	4713	chr4_AADN03010083_random
Chr4_random_7180000971896	unlocalized-scaffold	4	Chromosome	AADN03010084.1	=	NW_003765163.1	Primary Assembly	1337	chr4_AADN03010084_random
Chr4_random_7180000974225	unlocalized-scaffold	4	Chromosome	AADN03010085.1	=	NW_003765175.1	Primary Assembly	1168	chr4_AADN03010085_random
Chr4_random_7180000977055	unlocalized-scaffold	4	Chromosome	AADN03010087.1	=	NW_003765184.1	Primary Assembly	1331	chr4_AADN03010087_random
Chr4_random_7180000961442	unlocalized-scaffold	4	Chromosome	AADN03010090.1	=	NW_003765145.1	Primary Assembly	7706	chr4_AADN03010090_random
Chr4_random_7180000973627	unlocalized-scaffold	4	Chromosome	AADN03010091.1	=	NW_003765174.1	Primary Assembly	1294	chr4_AADN03010091_random
Chr4_random_7180000963948	unlocalized-scaffold	4	Chromosome	AADN03010092.1	=	NW_003765150.1	Primary Assembly	1377	chr4_AADN03010092_random
Chr4_random_7180000962345	unlocalized-scaffold	4	Chromosome	AADN03010093.1	=	NW_003765147.1	Primary Assembly	1615	chr4_AADN03010093_random
Chr4_random_7180000970614	unlocalized-scaffold	4	Chromosome	AADN03010094.1	=	NW_003765157.1	Primary Assembly	7831	chr4_AADN03010094_random
Chr4_random_7180000972145	unlocalized-scaffold	4	Chromosome	AADN03010097.1	=	NW_003765165.1	Primary Assembly	1029	chr4_AADN03010097_random
Chr4_random_7180000973360	unlocalized-scaffold	4	Chromosome	AADN03010098.1	=	NW_003765171.1	Primary Assembly	1355	chr4_AADN03010098_random
Chr4_random_7180000974861	unlocalized-scaffold	4	Chromosome	AADN03010099.1	=	NW_003765176.1	Primary Assembly	1154	chr4_AADN03010099_random
Chr4_random_7180000974997	unlocalized-scaffold	4	Chromosome	AADN03010100.1	=	NW_003765179.1	Primary Assembly	1004	chr4_AADN03010100_random
Chr4_random_7180000962634	unlocalized-scaffold	4	Chromosome	AADN03010101.1	=	NW_003765148.1	Primary Assembly	1249	chr4_AADN03010101_random
Chr4_random_7180000974893	unlocalized-scaffold	4	Chromosome	AADN03010102.1	=	NW_003765177.1	Primary Assembly	1596	chr4_AADN03010102_random
Chr4_random_7180000973135	unlocalized-scaffold	4	Chromosome	AADN03010105.1	=	NW_003765170.1	Primary Assembly	1218	chr4_AADN03010105_random
Chr4_random_7180000972146	unlocalized-scaffold	4	Chromosome	AADN03010108.1	=	NW_003765166.1	Primary Assembly	1190	chr4_AADN03010108_random
Chr4_random_7180000974991	unlocalized-scaffold	4	Chromosome	AADN03010109.1	=	NW_003765178.1	Primary Assembly	1139	chr4_AADN03010109_random
Chr4_random_7180000976746	unlocalized-scaffold	4	Chromosome	AADN03010111.1	=	NW_003765183.1	Primary Assembly	1129	chr4_AADN03010111_random
Chr4_random_7180000966826	unlocalized-scaffold	4	Chromosome	AADN03010114.1	=	NW_003765155.1	Primary Assembly	1066	chr4_AADN03010114_random
Chr4_random_7180000971915	unlocalized-scaffold	4	Chromosome	AADN03010116.1	=	NW_003765164.1	Primary Assembly	1164	chr4_AADN03010116_random
Chr4_random_7180000965375	unlocalized-scaffold	4	Chromosome	AADN03010117.1	=	NW_003765152.1	Primary Assembly	1055	chr4_AADN03010117_random
Chr4_random_7180000961445	unlocalized-scaffold	4	Chromosome	AADN03010119.1	=	NW_003765146.1	Primary Assembly	10612	chr4_AADN03010119_random
Chr4_random_7180000979010	unlocalized-scaffold	4	Chromosome	AADN03010120.1	=	NW_003765186.1	Primary Assembly	1177	chr4_AADN03010120_random
Chr4_random_7180000971894	unlocalized-scaffold	4	Chromosome	AADN03010121.1	=	NW_003765162.1	Primary Assembly	1058	chr4_AADN03010121_random
Chr4_random_7180000979189	unlocalized-scaffold	4	Chromosome	AADN03010126.1	=	NW_003765187.1	Primary Assembly	7647	chr4_AADN03010126_random
Chr4_random_7180000973134	unlocalized-scaffold	4	Chromosome	AADN03010127.1	=	NW_003765169.1	Primary Assembly	8662	chr4_AADN03010127_random
Chr4_random_7180000979870	unlocalized-scaffold	4	Chromosome	AADN03010129.1	=	NW_003765190.1	Primary Assembly	1692	chr4_AADN03010129_random
Chr4_random_7180000979403	unlocalized-scaffold	4	Chromosome	AADN03010133.1	=	NW_003765189.1	Primary Assembly	31673	chr4_AADN03010133_random
Chr4_random_7180000971001	unlocalized-scaffold	4	Chromosome	AADN03010135.1	=	NW_003765160.1	Primary Assembly	1317	chr4_AADN03010135_random
Chr4_random_7180000970741	unlocalized-scaffold	4	Chromosome	AADN03010139.1	=	NW_003765159.1	Primary Assembly	1050	chr4_AADN03010139_random
Chr4_random_7180000973625	unlocalized-scaffold	4	Chromosome	AADN03010141.1	=	NW_003765173.1	Primary Assembly	1672	chr4_AADN03010141_random
Chr4_random_deg7180000656145	unlocalized-scaffold	4	Chromosome	AADN03010146.1	=	NW_003765191.1	Primary Assembly	827	chr4_AADN03010146_random
Chr4_random_deg7180000658041	unlocalized-scaffold	4	Chromosome	AADN03010147.1	=	NW_003765192.1	Primary Assembly	730	chr4_AADN03010147_random
Chr4_random_deg7180000670005	unlocalized-scaffold	4	Chromosome	AADN03010148.1	=	NW_003765193.1	Primary Assembly	710	chr4_AADN03010148_random
Chr4_random_deg7180000716509	unlocalized-scaffold	4	Chromosome	AADN03010149.1	=	NW_003765194.1	Primary Assembly	946	chr4_AADN03010149_random
Chr4_random_deg7180000723694	unlocalized-scaffold	4	Chromosome	AADN03010150.1	=	NW_003765195.1	Primary Assembly	511	chr4_AADN03010150_random
Chr4_random_deg7180000727323	unlocalized-scaffold	4	Chromosome	AADN03010151.1	=	NW_003765196.1	Primary Assembly	972	chr4_AADN03010151_random
Chr4_random_deg7180000734765	unlocalized-scaffold	4	Chromosome	AADN03010152.1	=	NW_003765197.1	Primary Assembly	862	chr4_AADN03010152_random
Chr4_random_deg7180000746898	unlocalized-scaffold	4	Chromosome	AADN03010153.1	=	NW_003765198.1	Primary Assembly	598	chr4_AADN03010153_random
Chr4_random_deg7180000748610	unlocalized-scaffold	4	Chromosome	AADN03010154.1	=	NW_003765199.1	Primary Assembly	829	chr4_AADN03010154_random
Chr4_random_deg7180000784870	unlocalized-scaffold	4	Chromosome	AADN03010155.1	=	NW_003765200.1	Primary Assembly	517	chr4_AADN03010155_random
Chr4_random_deg7180000831609	unlocalized-scaffold	4	Chromosome	AADN03010156.1	=	NW_003765201.1	Primary Assembly	501	chr4_AADN03010156_random
Chr4_random_deg7180000833519	unlocalized-scaffold	4	Chromosome	AADN03010157.1	=	NW_003765202.1	Primary Assembly	512	chr4_AADN03010157_random
Chr4_random_deg7180000839672	unlocalized-scaffold	4	Chromosome	AADN03010158.1	=	NW_003765203.1	Primary Assembly	527	chr4_AADN03010158_random
Chr4_random_deg7180000866281	unlocalized-scaffold	4	Chromosome	AADN03010159.1	=	NW_003765204.1	Primary Assembly	6031	chr4_AADN03010159_random
Chr4_random_deg7180000866570	unlocalized-scaffold	4	Chromosome	AADN03010160.1	=	NW_003765205.1	Primary Assembly	7052	chr4_AADN03010160_random
Chr4_random_deg7180000866767	unlocalized-scaffold	4	Chromosome	AADN03010161.1	=	NW_003765206.1	Primary Assembly	1443	chr4_AADN03010161_random
Chr4_random_deg7180000870068	unlocalized-scaffold	4	Chromosome	AADN03010162.1	=	NW_003765207.1	Primary Assembly	875	chr4_AADN03010162_random
Chr4_random_deg7180000871332	unlocalized-scaffold	4	Chromosome	AADN03010163.1	=	NW_003765208.1	Primary Assembly	2366	chr4_AADN03010163_random
Chr4_random_deg7180000871569	unlocalized-scaffold	4	Chromosome	AADN03010164.1	=	NW_003765209.1	Primary Assembly	712	chr4_AADN03010164_random
Chr4_random_deg7180000873436	unlocalized-scaffold	4	Chromosome	AADN03010165.1	=	NW_003765210.1	Primary Assembly	634	chr4_AADN03010165_random
Chr4_random_deg7180000881756	unlocalized-scaffold	4	Chromosome	AADN03010166.1	=	NW_003765211.1	Primary Assembly	1289	chr4_AADN03010166_random
Chr4_random_deg7180000882666	unlocalized-scaffold	4	Chromosome	AADN03010167.1	=	NW_003765212.1	Primary Assembly	856	chr4_AADN03010167_random
Chr4_random_deg7180000885894	unlocalized-scaffold	4	Chromosome	AADN03010168.1	=	NW_003765213.1	Primary Assembly	698	chr4_AADN03010168_random
Chr4_random_deg7180000889762	unlocalized-scaffold	4	Chromosome	AADN03010169.1	=	NW_003765214.1	Primary Assembly	560	chr4_AADN03010169_random
Chr4_random_deg7180000889764	unlocalized-scaffold	4	Chromosome	AADN03010170.1	=	NW_003765215.1	Primary Assembly	1634	chr4_AADN03010170_random
Chr4_random_deg7180000890770	unlocalized-scaffold	4	Chromosome	AADN03010171.1	=	NW_003765216.1	Primary Assembly	552	chr4_AADN03010171_random
Chr4_random_deg7180000892278	unlocalized-scaffold	4	Chromosome	AADN03010172.1	=	NW_003765217.1	Primary Assembly	551	chr4_AADN03010172_random
Chr4_random_deg7180000894209	unlocalized-scaffold	4	Chromosome	AADN03010173.1	=	NW_003765218.1	Primary Assembly	738	chr4_AADN03010173_random
Chr4_random_deg7180000898817	unlocalized-scaffold	4	Chromosome	AADN03010174.1	=	NW_003765219.1	Primary Assembly	528	chr4_AADN03010174_random
Chr4_random_deg7180000898818	unlocalized-scaffold	4	Chromosome	AADN03010175.1	=	NW_003765220.1	Primary Assembly	551	chr4_AADN03010175_random
Chr4_random_deg7180000902673	unlocalized-scaffold	4	Chromosome	AADN03010176.1	=	NW_003765221.1	Primary Assembly	936	chr4_AADN03010176_random
Chr4_random_deg7180000905108	unlocalized-scaffold	4	Chromosome	AADN03010177.1	=	NW_003765222.1	Primary Assembly	714	chr4_AADN03010177_random
Chr4_random_deg7180000912313	unlocalized-scaffold	4	Chromosome	AADN03010178.1	=	NW_003765223.1	Primary Assembly	2077	chr4_AADN03010178_random
Chr4_random_deg7180000912315	unlocalized-scaffold	4	Chromosome	AADN03010179.1	=	NW_003765224.1	Primary Assembly	986	chr4_AADN03010179_random
Chr4_random_deg7180000912316	unlocalized-scaffold	4	Chromosome	AADN03010180.1	=	NW_003765225.1	Primary Assembly	2111	chr4_AADN03010180_random
Chr4_random_deg7180000912380	unlocalized-scaffold	4	Chromosome	AADN03010181.1	=	NW_003765226.1	Primary Assembly	967	chr4_AADN03010181_random
Chr4_random_deg7180000912974	unlocalized-scaffold	4	Chromosome	AADN03010182.1	=	NW_003765227.1	Primary Assembly	583	chr4_AADN03010182_random
Chr4_random_deg7180000913906	unlocalized-scaffold	4	Chromosome	AADN03010183.1	=	NW_003765228.1	Primary Assembly	917	chr4_AADN03010183_random
Chr4_random_deg7180000915789	unlocalized-scaffold	4	Chromosome	AADN03010184.1	=	NW_003765229.1	Primary Assembly	973	chr4_AADN03010184_random
Chr4_random_deg7180000915790	unlocalized-scaffold	4	Chromosome	AADN03010185.1	=	NW_003765230.1	Primary Assembly	1113	chr4_AADN03010185_random
