# Assembly name:  Gallus_gallus-5.0
# Organism name:  Gallus gallus (chicken)
# Infraspecific name:  breed=Red Jungle fowl, inbred line UCD001
# Isolate:  RJF #256
# Sex:  female
# Taxid:          9031
# BioSample:      SAMN02981218
# BioProject:     PRJNA10808
# Submitter:      International Chicken Genome Consortium
# Date:           2015-12-16
# Assembly type:  haploid
# Release type:   major
# Assembly level: Chromosome
# Genome representation: full
# WGS project:    AADN04
# Assembly method: MHAP/PBcR v. 8.2beta
# Genome coverage: 70x
# Sequencing technology: Sanger; 454; Illumina; PacBio
# RefSeq category: Representative Genome
# GenBank assembly accession: GCA_000002315.3
# RefSeq assembly accession: GCF_000002315.4
# RefSeq assembly and GenBank assemblies identical: no
#
## Assembly-Units:
## GenBank Unit Accession	RefSeq Unit Accession	Assembly-Unit name
## GCA_000000185.3	GCF_000000185.3	Primary Assembly
## 	GCF_000184395.1	non-nuclear
#
# Ordered by chromosome/plasmid; the chromosomes/plasmids are followed by
# unlocalized scaffolds.
# Unplaced scaffolds are listed at the end.
# RefSeq is equal or derived from GenBank object.
#
# Sequence-Name	Sequence-Role	Assigned-Molecule	Assigned-Molecule-Location/Type	GenBank-Accn	Relationship	RefSeq-Accn	Assembly-Unit	Sequence-Length	UCSC-style-name
chr13random_Scaffold6687	unlocalized-scaffold	13	Chromosome	AADN04006136.1	=	NT_462220.1	Primary Assembly	12648	na
chr13random_Scaffold6715	unlocalized-scaffold	13	Chromosome	AADN04006164.1	=	NT_462221.1	Primary Assembly	12482	na
chr13random_Scaffold6788	unlocalized-scaffold	13	Chromosome	AADN04006233.1	=	NT_462222.1	Primary Assembly	12399	na
chr13random_Scaffold6794	unlocalized-scaffold	13	Chromosome	AADN04006239.1	=	NT_462223.1	Primary Assembly	12517	na
chr13random_Scaffold6914	unlocalized-scaffold	13	Chromosome	AADN04006358.1	=	NT_462224.1	Primary Assembly	12266	na
chr13random_Scaffold7325	unlocalized-scaffold	13	Chromosome	AADN04006754.1	=	NT_462225.1	Primary Assembly	11791	na
chr13random_Scaffold7413	unlocalized-scaffold	13	Chromosome	AADN04006835.1	=	NT_462226.1	Primary Assembly	11802	na
chr13random_Scaffold7627	unlocalized-scaffold	13	Chromosome	AADN04007039.1	=	NT_462227.1	Primary Assembly	11543	na
chr13random_Scaffold7824	unlocalized-scaffold	13	Chromosome	AADN04007231.1	=	NT_462228.1	Primary Assembly	11408	na
chr13random_Scaffold7927	unlocalized-scaffold	13	Chromosome	AADN04007333.1	=	NT_462229.1	Primary Assembly	10560	na
chr13random_Scaffold7996	unlocalized-scaffold	13	Chromosome	AADN04007402.1	=	NT_462230.1	Primary Assembly	11239	na
chr13random_Scaffold8006	unlocalized-scaffold	13	Chromosome	AADN04007411.1	=	NT_462231.1	Primary Assembly	11089	na
chr13random_Scaffold8141	unlocalized-scaffold	13	Chromosome	AADN04007538.1	=	NT_462232.1	Primary Assembly	10973	na
chr13random_Scaffold8486	unlocalized-scaffold	13	Chromosome	AADN04007871.1	=	NT_462233.1	Primary Assembly	10754	na
chr13random_Scaffold8868	unlocalized-scaffold	13	Chromosome	AADN04008245.1	=	NT_462234.1	Primary Assembly	10383	na
chr13random_Scaffold8900	unlocalized-scaffold	13	Chromosome	AADN04008277.1	=	NT_462235.1	Primary Assembly	10278	na
chr13random_Scaffold8928	unlocalized-scaffold	13	Chromosome	AADN04008303.1	=	NT_462236.1	Primary Assembly	10434	na
chr13random_Scaffold8930	unlocalized-scaffold	13	Chromosome	AADN04008305.1	=	NT_462237.1	Primary Assembly	10297	na
chr13random_Scaffold9003	unlocalized-scaffold	13	Chromosome	AADN04008374.1	=	NT_462238.1	Primary Assembly	10186	na
chr13random_Scaffold9200	unlocalized-scaffold	13	Chromosome	AADN04008562.1	=	NT_462239.1	Primary Assembly	10023	na
chr13random_Scaffold9457	unlocalized-scaffold	13	Chromosome	AADN04008808.1	=	NT_462240.1	Primary Assembly	9892	na
chr13random_Scaffold9512	unlocalized-scaffold	13	Chromosome	AADN04008860.1	=	NT_462241.1	Primary Assembly	9794	na
chr13random_Scaffold9585	unlocalized-scaffold	13	Chromosome	AADN04008928.1	=	NT_462242.1	Primary Assembly	9833	na
chr13random_Scaffold9699	unlocalized-scaffold	13	Chromosome	AADN04009039.1	=	NT_462243.1	Primary Assembly	9693	na
chr13random_Scaffold9794	unlocalized-scaffold	13	Chromosome	AADN04009129.1	=	NT_462244.1	Primary Assembly	9590	na
chr13random_Scaffold10012	unlocalized-scaffold	13	Chromosome	AADN04009339.1	=	NT_462245.1	Primary Assembly	9341	na
chr13random_Scaffold10421	unlocalized-scaffold	13	Chromosome	AADN04009737.1	=	NT_462246.1	Primary Assembly	9080	na
chr13random_Scaffold10696	unlocalized-scaffold	13	Chromosome	AADN04010000.1	=	NT_462247.1	Primary Assembly	8906	na
chr13random_Scaffold10697	unlocalized-scaffold	13	Chromosome	AADN04010001.1	=	NT_462248.1	Primary Assembly	8953	na
chr13random_Scaffold10972	unlocalized-scaffold	13	Chromosome	AADN04010265.1	=	NT_462249.1	Primary Assembly	8739	na
chr13random_Scaffold11116	unlocalized-scaffold	13	Chromosome	AADN04010411.1	=	NT_462250.1	Primary Assembly	8661	na
chr13random_Scaffold11135	unlocalized-scaffold	13	Chromosome	AADN04010429.1	=	NT_462251.1	Primary Assembly	8614	na
chr13random_Scaffold11172	unlocalized-scaffold	13	Chromosome	AADN04010466.1	=	NT_462252.1	Primary Assembly	8593	na
chr13random_Scaffold11317	unlocalized-scaffold	13	Chromosome	AADN04010602.1	=	NT_462253.1	Primary Assembly	8489	na
chr13random_Scaffold11356	unlocalized-scaffold	13	Chromosome	AADN04010638.1	=	NT_462254.1	Primary Assembly	8570	na
chr13random_Scaffold11456	unlocalized-scaffold	13	Chromosome	AADN04010735.1	=	NT_462255.1	Primary Assembly	8400	na
chr13random_Scaffold11619	unlocalized-scaffold	13	Chromosome	AADN04010889.1	=	NT_462256.1	Primary Assembly	8347	na
chr13random_Scaffold11674	unlocalized-scaffold	13	Chromosome	AADN04010943.1	=	NT_462257.1	Primary Assembly	8304	na
chr13random_Scaffold11824	unlocalized-scaffold	13	Chromosome	AADN04011085.1	=	NT_462258.1	Primary Assembly	8222	na
chr13random_Scaffold12017	unlocalized-scaffold	13	Chromosome	AADN04011266.1	=	NT_462259.1	Primary Assembly	8100	na
chr13random_Scaffold12140	unlocalized-scaffold	13	Chromosome	AADN04011392.1	=	NT_462260.1	Primary Assembly	8103	na
chr13random_Scaffold12186	unlocalized-scaffold	13	Chromosome	AADN04011434.1	=	NT_462261.1	Primary Assembly	8003	na
chr13random_Scaffold12355	unlocalized-scaffold	13	Chromosome	AADN04011594.1	=	NT_462262.1	Primary Assembly	7869	na
chr13random_Scaffold12718	unlocalized-scaffold	13	Chromosome	AADN04011944.1	=	NT_462263.1	Primary Assembly	7619	na
chr13random_Scaffold12840	unlocalized-scaffold	13	Chromosome	AADN04012059.1	=	NT_462264.1	Primary Assembly	7583	na
chr13random_Scaffold13210	unlocalized-scaffold	13	Chromosome	AADN04012408.1	=	NT_462265.1	Primary Assembly	7300	na
chr13random_Scaffold13569	unlocalized-scaffold	13	Chromosome	AADN04012763.1	=	NT_462266.1	Primary Assembly	7100	na
chr13random_Scaffold13742	unlocalized-scaffold	13	Chromosome	AADN04012922.1	=	NT_462267.1	Primary Assembly	7025	na
chr13random_Scaffold13894	unlocalized-scaffold	13	Chromosome	AADN04013067.1	=	NT_462268.1	Primary Assembly	6929	na
chr13random_Scaffold13922	unlocalized-scaffold	13	Chromosome	AADN04013094.1	=	NT_462269.1	Primary Assembly	6863	na
chr13random_Scaffold14546	unlocalized-scaffold	13	Chromosome	AADN04013690.1	=	NT_462270.1	Primary Assembly	6559	na
chr13random_Scaffold14770	unlocalized-scaffold	13	Chromosome	AADN04013907.1	=	NT_462271.1	Primary Assembly	6431	na
chr13random_Scaffold14932	unlocalized-scaffold	13	Chromosome	AADN04014067.1	=	NT_462272.1	Primary Assembly	6352	na
chr13random_Scaffold14975	unlocalized-scaffold	13	Chromosome	AADN04014111.1	=	NT_462273.1	Primary Assembly	6387	na
chr13random_Scaffold15019	unlocalized-scaffold	13	Chromosome	AADN04014154.1	=	NT_462274.1	Primary Assembly	6252	na
chr13random_Scaffold15379	unlocalized-scaffold	13	Chromosome	AADN04014499.1	=	NT_462275.1	Primary Assembly	6058	na
chr13random_Scaffold15431	unlocalized-scaffold	13	Chromosome	AADN04014550.1	=	NT_462276.1	Primary Assembly	6035	na
chr13random_Scaffold15672	unlocalized-scaffold	13	Chromosome	AADN04014788.1	=	NT_462277.1	Primary Assembly	5945	na
chr13random_Scaffold15695	unlocalized-scaffold	13	Chromosome	AADN04014808.1	=	NT_462278.1	Primary Assembly	5925	na
chr13random_Scaffold15728	unlocalized-scaffold	13	Chromosome	AADN04014839.1	=	NT_462279.1	Primary Assembly	6047	na
chr13random_Scaffold15810	unlocalized-scaffold	13	Chromosome	AADN04014917.1	=	NT_462280.1	Primary Assembly	5864	na
chr13random_Scaffold15842	unlocalized-scaffold	13	Chromosome	AADN04014949.1	=	NT_462281.1	Primary Assembly	5831	na
chr13random_Scaffold15863	unlocalized-scaffold	13	Chromosome	AADN04014970.1	=	NT_462282.1	Primary Assembly	5794	na
chr13random_Scaffold15891	unlocalized-scaffold	13	Chromosome	AADN04014998.1	=	NT_462283.1	Primary Assembly	5830	na
chr13random_Scaffold16256	unlocalized-scaffold	13	Chromosome	AADN04015349.1	=	NT_462284.1	Primary Assembly	5650	na
chr13random_Scaffold16371	unlocalized-scaffold	13	Chromosome	AADN04015459.1	=	NT_462285.1	Primary Assembly	5560	na
chr13random_Scaffold16905	unlocalized-scaffold	13	Chromosome	AADN04015969.1	=	NT_462286.1	Primary Assembly	5293	na
chr13random_Scaffold17334	unlocalized-scaffold	13	Chromosome	AADN04016391.1	=	NT_462287.1	Primary Assembly	5010	na
chr13random_Scaffold17368	unlocalized-scaffold	13	Chromosome	AADN04016424.1	=	NT_462288.1	Primary Assembly	5036	na
chr13random_Scaffold17539	unlocalized-scaffold	13	Chromosome	AADN04016586.1	=	NT_462289.1	Primary Assembly	4905	na
chr13random_Scaffold17559	unlocalized-scaffold	13	Chromosome	AADN04016604.1	=	NT_462290.1	Primary Assembly	4939	na
chr13random_Scaffold17639	unlocalized-scaffold	13	Chromosome	AADN04016684.1	=	NT_462291.1	Primary Assembly	4881	na
chr13random_Scaffold18191	unlocalized-scaffold	13	Chromosome	AADN04017214.1	=	NT_462292.1	Primary Assembly	4600	na
chr13random_Scaffold18344	unlocalized-scaffold	13	Chromosome	AADN04017360.1	=	NT_462293.1	Primary Assembly	4510	na
chr13random_Scaffold18569	unlocalized-scaffold	13	Chromosome	AADN04017576.1	=	NT_462294.1	Primary Assembly	4398	na
chr13random_Scaffold18830	unlocalized-scaffold	13	Chromosome	AADN04017831.1	=	NT_462295.1	Primary Assembly	4292	na
chr13random_Scaffold18888	unlocalized-scaffold	13	Chromosome	AADN04017888.1	=	NT_462296.1	Primary Assembly	4260	na
chr13random_Scaffold19010	unlocalized-scaffold	13	Chromosome	AADN04018003.1	=	NT_462297.1	Primary Assembly	4293	na
chr13random_Scaffold19096	unlocalized-scaffold	13	Chromosome	AADN04018084.1	=	NT_462298.1	Primary Assembly	4167	na
chr13random_Scaffold19247	unlocalized-scaffold	13	Chromosome	AADN04018224.1	=	NT_462299.1	Primary Assembly	4093	na
chr13random_Scaffold19297	unlocalized-scaffold	13	Chromosome	AADN04018271.1	=	NT_462300.1	Primary Assembly	4042	na
chr13random_Scaffold19483	unlocalized-scaffold	13	Chromosome	AADN04018449.1	=	NT_462301.1	Primary Assembly	4006	na
chr13random_Scaffold19588	unlocalized-scaffold	13	Chromosome	AADN04018553.1	=	NT_462302.1	Primary Assembly	3919	na
chr13random_Scaffold19591	unlocalized-scaffold	13	Chromosome	AADN04018556.1	=	NT_462303.1	Primary Assembly	3904	na
chr13random_Scaffold19658	unlocalized-scaffold	13	Chromosome	AADN04018621.1	=	NT_462304.1	Primary Assembly	3954	na
chr13random_Scaffold19664	unlocalized-scaffold	13	Chromosome	AADN04018626.1	=	NT_462305.1	Primary Assembly	3876	na
chr13random_Scaffold19828	unlocalized-scaffold	13	Chromosome	AADN04018781.1	=	NT_462306.1	Primary Assembly	3825	na
chr13random_Scaffold20173	unlocalized-scaffold	13	Chromosome	AADN04019112.1	=	NT_462307.1	Primary Assembly	3649	na
chr13random_Scaffold20327	unlocalized-scaffold	13	Chromosome	AADN04019256.1	=	NT_462308.1	Primary Assembly	3552	na
chr13random_Scaffold20477	unlocalized-scaffold	13	Chromosome	AADN04019400.1	=	NT_462309.1	Primary Assembly	3485	na
chr13random_Scaffold21104	unlocalized-scaffold	13	Chromosome	AADN04019989.1	=	NT_462310.1	Primary Assembly	3190	na
chr13random_Scaffold21139	unlocalized-scaffold	13	Chromosome	AADN04020024.1	=	NT_462311.1	Primary Assembly	3162	na
chr13random_Scaffold21544	unlocalized-scaffold	13	Chromosome	AADN04020413.1	=	NT_462312.1	Primary Assembly	2957	na
chr13random_Scaffold21550	unlocalized-scaffold	13	Chromosome	AADN04020420.1	=	NT_462313.1	Primary Assembly	3010	na
chr13random_Scaffold21583	unlocalized-scaffold	13	Chromosome	AADN04020449.1	=	NT_462314.1	Primary Assembly	2966	na
chr13random_Scaffold21662	unlocalized-scaffold	13	Chromosome	AADN04020526.1	=	NT_462315.1	Primary Assembly	2933	na
chr13random_Scaffold22034	unlocalized-scaffold	13	Chromosome	AADN04020877.1	=	NT_462316.1	Primary Assembly	2790	na
chr13random_Scaffold22041	unlocalized-scaffold	13	Chromosome	AADN04020884.1	=	NT_462317.1	Primary Assembly	2728	na
chr13random_Scaffold22081	unlocalized-scaffold	13	Chromosome	AADN04020922.1	=	NT_462318.1	Primary Assembly	2736	na
chr13random_Scaffold22164	unlocalized-scaffold	13	Chromosome	AADN04021003.1	=	NT_462319.1	Primary Assembly	2682	na
chr13random_Scaffold22180	unlocalized-scaffold	13	Chromosome	AADN04021019.1	=	NT_462320.1	Primary Assembly	2669	na
chr13random_Scaffold22196	unlocalized-scaffold	13	Chromosome	AADN04021034.1	=	NT_462321.1	Primary Assembly	2712	na
chr13random_Scaffold22365	unlocalized-scaffold	13	Chromosome	AADN04021190.1	=	NT_462322.1	Primary Assembly	2601	na
chr13random_Scaffold22500	unlocalized-scaffold	13	Chromosome	AADN04021317.1	=	NT_462323.1	Primary Assembly	2532	na
chr13random_Scaffold22551	unlocalized-scaffold	13	Chromosome	AADN04021367.1	=	NT_462324.1	Primary Assembly	2537	na
chr13random_Scaffold22776	unlocalized-scaffold	13	Chromosome	AADN04021575.1	=	NT_462325.1	Primary Assembly	2427	na
chr13random_Scaffold22836	unlocalized-scaffold	13	Chromosome	AADN04021630.1	=	NT_462326.1	Primary Assembly	2401	na
chr13random_Scaffold23315	unlocalized-scaffold	13	Chromosome	AADN04022080.1	=	NT_462327.1	Primary Assembly	2173	na
chr13random_Scaffold24003	unlocalized-scaffold	13	Chromosome	AADN04022719.1	=	NT_462328.1	Primary Assembly	1847	na
chr13random_Scaffold24684	unlocalized-scaffold	13	Chromosome	AADN04023360.1	=	NT_462329.1	Primary Assembly	1496	na
chr13random_Scaffold24703	unlocalized-scaffold	13	Chromosome	AADN04023378.1	=	NT_462330.1	Primary Assembly	1472	na
chr13random_Scaffold25350	unlocalized-scaffold	13	Chromosome	AADN04023988.1	=	NT_462331.1	Primary Assembly	850	na
chr13random_Scaffold25351	unlocalized-scaffold	13	Chromosome	AADN04023989.1	=	NT_462332.1	Primary Assembly	310	na
chr13random_Scaffold25352	unlocalized-scaffold	13	Chromosome	AADN04023990.1	=	NT_462333.1	Primary Assembly	310	na
chr13random_Scaffold25353	unlocalized-scaffold	13	Chromosome	AADN04023991.1	=	NT_462334.1	Primary Assembly	2594	na
chr13random_Scaffold25354	unlocalized-scaffold	13	Chromosome	AADN04023992.1	=	NT_462335.1	Primary Assembly	442	na
chr13random_Scaffold25355	unlocalized-scaffold	13	Chromosome	AADN04023993.1	=	NT_462336.1	Primary Assembly	1196	na
chr13random_Scaffold25356	unlocalized-scaffold	13	Chromosome	AADN04023994.1	=	NT_462337.1	Primary Assembly	891	na
chr13random_Scaffold25357	unlocalized-scaffold	13	Chromosome	AADN04023995.1	=	NT_462338.1	Primary Assembly	1698	na
chr13random_Scaffold25358	unlocalized-scaffold	13	Chromosome	AADN04023996.1	=	NT_462339.1	Primary Assembly	550	na
chr13random_Scaffold25359	unlocalized-scaffold	13	Chromosome	AADN04023997.1	=	NT_462340.1	Primary Assembly	1231	na
chr13random_Scaffold25360	unlocalized-scaffold	13	Chromosome	AADN04023998.1	=	NT_462341.1	Primary Assembly	780	na
chr13random_Scaffold25361	unlocalized-scaffold	13	Chromosome	AADN04023999.1	=	NT_462342.1	Primary Assembly	777	na
chr13random_Scaffold25362	unlocalized-scaffold	13	Chromosome	AADN04024000.1	=	NT_462343.1	Primary Assembly	283	na
chr13random_Scaffold25363	unlocalized-scaffold	13	Chromosome	AADN04024001.1	=	NT_462344.1	Primary Assembly	499	na
chr13random_Scaffold25831	unlocalized-scaffold	13	Chromosome	AADN04024459.1	=	NT_462345.1	Primary Assembly	951	na
chr13random_Scaffold25832	unlocalized-scaffold	13	Chromosome	AADN04024460.1	=	NT_462346.1	Primary Assembly	589	na
chr13random_Scaffold25833	unlocalized-scaffold	13	Chromosome	AADN04024461.1	=	NT_462347.1	Primary Assembly	534	na
chr13random_Scaffold25834	unlocalized-scaffold	13	Chromosome	AADN04024462.1	=	NT_462348.1	Primary Assembly	522	na
chr13random_Scaffold823	unlocalized-scaffold	13	Chromosome	KQ759454.1	=	NT_462186.1	Primary Assembly	53068	na
chr13random_Scaffold886	unlocalized-scaffold	13	Chromosome	KQ759455.1	=	NT_462188.1	Primary Assembly	46957	na
chr13random_Scaffold3956	unlocalized-scaffold	13	Chromosome	KQ759456.1	=	NT_462206.1	Primary Assembly	16874	na
chr14random_Scaffold531	unlocalized-scaffold	14	Chromosome	AADN04000668.1	=	NT_462349.1	Primary Assembly	90963	na
chr14random_Scaffold855	unlocalized-scaffold	14	Chromosome	AADN04000832.1	=	NT_462350.1	Primary Assembly	50079	na
chr14random_Scaffold956	unlocalized-scaffold	14	Chromosome	AADN04000886.1	=	NT_462351.1	Primary Assembly	42768	na
chr14random_Scaffold1306	unlocalized-scaffold	14	Chromosome	AADN04001164.1	=	NT_462352.1	Primary Assembly	30465	na
chr14random_Scaffold1506	unlocalized-scaffold	14	Chromosome	AADN04001332.1	=	NT_462353.1	Primary Assembly	27702	na
chr14random_Scaffold1701	unlocalized-scaffold	14	Chromosome	AADN04001500.1	=	NT_462354.1	Primary Assembly	25844	na
chr14random_Scaffold1749	unlocalized-scaffold	14	Chromosome	AADN04001540.1	=	NT_462355.1	Primary Assembly	25292	na
chr14random_Scaffold1803	unlocalized-scaffold	14	Chromosome	AADN04001589.1	=	NT_462356.1	Primary Assembly	24745	na
chr14random_Scaffold2056	unlocalized-scaffold	14	Chromosome	AADN04001818.1	=	NT_462357.1	Primary Assembly	22929	na
chr14random_Scaffold2218	unlocalized-scaffold	14	Chromosome	AADN04001956.1	=	NT_462358.1	Primary Assembly	22117	na
chr14random_Scaffold2283	unlocalized-scaffold	14	Chromosome	AADN04002017.1	=	NT_462359.1	Primary Assembly	21763	na
chr14random_Scaffold2403	unlocalized-scaffold	14	Chromosome	AADN04002129.1	=	NT_462360.1	Primary Assembly	21210	na
chr14random_Scaffold2455	unlocalized-scaffold	14	Chromosome	AADN04002178.1	=	NT_462361.1	Primary Assembly	20965	na
chr14random_Scaffold2500	unlocalized-scaffold	14	Chromosome	AADN04002218.1	=	NT_462362.1	Primary Assembly	20786	na
chr14random_Scaffold3537	unlocalized-scaffold	14	Chromosome	AADN04003166.1	=	NT_462363.1	Primary Assembly	17689	na
chr14random_Scaffold3656	unlocalized-scaffold	14	Chromosome	AADN04003277.1	=	NT_462364.1	Primary Assembly	17453	na
chr14random_Scaffold3863	unlocalized-scaffold	14	Chromosome	AADN04003459.1	=	NT_462365.1	Primary Assembly	17006	na
chr14random_Scaffold4508	unlocalized-scaffold	14	Chromosome	AADN04004063.1	=	NT_462367.1	Primary Assembly	15754	na
chr14random_Scaffold4714	unlocalized-scaffold	14	Chromosome	AADN04004264.1	=	NT_462368.1	Primary Assembly	15377	na
chr14random_Scaffold5866	unlocalized-scaffold	14	Chromosome	AADN04005357.1	=	NT_462369.1	Primary Assembly	13558	na
chr14random_Scaffold5941	unlocalized-scaffold	14	Chromosome	AADN04005431.1	=	NT_462370.1	Primary Assembly	13541	na
chr14random_Scaffold6003	unlocalized-scaffold	14	Chromosome	AADN04005490.1	=	NT_462371.1	Primary Assembly	13470	na
chr14random_Scaffold6199	unlocalized-scaffold	14	Chromosome	AADN04005671.1	=	NT_462372.1	Primary Assembly	13241	na
chr14random_Scaffold6325	unlocalized-scaffold	14	Chromosome	AADN04005791.1	=	NT_462373.1	Primary Assembly	13083	na
chr14random_Scaffold6689	unlocalized-scaffold	14	Chromosome	AADN04006138.1	=	NT_462374.1	Primary Assembly	12578	na
chr14random_Scaffold7291	unlocalized-scaffold	14	Chromosome	AADN04006724.1	=	NT_462375.1	Primary Assembly	11875	na
chr14random_Scaffold7648	unlocalized-scaffold	14	Chromosome	AADN04007059.1	=	NT_462376.1	Primary Assembly	11667	na
chr14random_Scaffold7778	unlocalized-scaffold	14	Chromosome	AADN04007186.1	=	NT_462377.1	Primary Assembly	11349	na
chr14random_Scaffold9299	unlocalized-scaffold	14	Chromosome	AADN04008658.1	=	NT_462380.1	Primary Assembly	10036	na
chr14random_Scaffold9459	unlocalized-scaffold	14	Chromosome	AADN04008810.1	=	NT_462381.1	Primary Assembly	9829	na
chr14random_Scaffold9493	unlocalized-scaffold	14	Chromosome	AADN04008842.1	=	NT_462382.1	Primary Assembly	9899	na
chr14random_Scaffold9514	unlocalized-scaffold	14	Chromosome	AADN04008862.1	=	NT_462383.1	Primary Assembly	9926	na
chr14random_Scaffold10261	unlocalized-scaffold	14	Chromosome	AADN04009584.1	=	NT_462384.1	Primary Assembly	9209	na
chr14random_Scaffold10369	unlocalized-scaffold	14	Chromosome	AADN04009685.1	=	NT_462385.1	Primary Assembly	9105	na
chr14random_Scaffold10396	unlocalized-scaffold	14	Chromosome	AADN04009713.1	=	NT_462386.1	Primary Assembly	9230	na
chr14random_Scaffold10555	unlocalized-scaffold	14	Chromosome	AADN04009864.1	=	NT_462387.1	Primary Assembly	9058	na
chr14random_Scaffold10633	unlocalized-scaffold	14	Chromosome	AADN04009939.1	=	NT_462388.1	Primary Assembly	9009	na
chr14random_Scaffold10764	unlocalized-scaffold	14	Chromosome	AADN04010067.1	=	NT_462389.1	Primary Assembly	8958	na
chr14random_Scaffold10989	unlocalized-scaffold	14	Chromosome	AADN04010282.1	=	NT_462390.1	Primary Assembly	8743	na
chr14random_Scaffold11016	unlocalized-scaffold	14	Chromosome	AADN04010309.1	=	NT_462391.1	Primary Assembly	8575	na
chr14random_Scaffold11203	unlocalized-scaffold	14	Chromosome	AADN04010494.1	=	NT_462392.1	Primary Assembly	8769	na
chr14random_Scaffold11996	unlocalized-scaffold	14	Chromosome	AADN04011246.1	=	NT_462393.1	Primary Assembly	8104	na
chr14random_Scaffold12031	unlocalized-scaffold	14	Chromosome	AADN04011281.1	=	NT_462394.1	Primary Assembly	8113	na
chr14random_Scaffold12040	unlocalized-scaffold	14	Chromosome	AADN04011290.1	=	NT_462395.1	Primary Assembly	8052	na
chr14random_Scaffold12601	unlocalized-scaffold	14	Chromosome	AADN04011828.1	=	NT_462396.1	Primary Assembly	7705	na
chr14random_Scaffold12654	unlocalized-scaffold	14	Chromosome	AADN04011880.1	=	NT_462397.1	Primary Assembly	7693	na
chr14random_Scaffold14457	unlocalized-scaffold	14	Chromosome	AADN04013607.1	=	NT_462398.1	Primary Assembly	6600	na
chr14random_Scaffold14602	unlocalized-scaffold	14	Chromosome	AADN04013744.1	=	NT_462399.1	Primary Assembly	6487	na
chr14random_Scaffold14950	unlocalized-scaffold	14	Chromosome	AADN04014086.1	=	NT_462400.1	Primary Assembly	6322	na
chr14random_Scaffold15274	unlocalized-scaffold	14	Chromosome	AADN04014399.1	=	NT_462401.1	Primary Assembly	6178	na
chr14random_Scaffold15278	unlocalized-scaffold	14	Chromosome	AADN04014402.1	=	NT_462402.1	Primary Assembly	6131	na
chr14random_Scaffold15608	unlocalized-scaffold	14	Chromosome	AADN04014724.1	=	NT_462403.1	Primary Assembly	6054	na
chr14random_Scaffold15663	unlocalized-scaffold	14	Chromosome	AADN04014779.1	=	NT_462404.1	Primary Assembly	5925	na
chr14random_Scaffold15713	unlocalized-scaffold	14	Chromosome	AADN04014825.1	=	NT_462405.1	Primary Assembly	5974	na
chr14random_Scaffold15790	unlocalized-scaffold	14	Chromosome	AADN04014899.1	=	NT_462406.1	Primary Assembly	6047	na
chr14random_Scaffold15845	unlocalized-scaffold	14	Chromosome	AADN04014952.1	=	NT_462407.1	Primary Assembly	5841	na
chr14random_Scaffold16096	unlocalized-scaffold	14	Chromosome	AADN04015196.1	=	NT_462408.1	Primary Assembly	5665	na
chr14random_Scaffold16195	unlocalized-scaffold	14	Chromosome	AADN04015290.1	=	NT_462409.1	Primary Assembly	5652	na
chr14random_Scaffold16216	unlocalized-scaffold	14	Chromosome	AADN04015310.1	=	NT_462410.1	Primary Assembly	5615	na
chr14random_Scaffold16377	unlocalized-scaffold	14	Chromosome	AADN04015465.1	=	NT_462411.1	Primary Assembly	5571	na
chr14random_Scaffold16810	unlocalized-scaffold	14	Chromosome	AADN04015878.1	=	NT_462412.1	Primary Assembly	5314	na
chr14random_Scaffold16815	unlocalized-scaffold	14	Chromosome	AADN04015883.1	=	NT_462413.1	Primary Assembly	5309	na
chr14random_Scaffold16954	unlocalized-scaffold	14	Chromosome	AADN04016017.1	=	NT_462414.1	Primary Assembly	5324	na
chr14random_Scaffold17282	unlocalized-scaffold	14	Chromosome	AADN04016338.1	=	NT_462415.1	Primary Assembly	5061	na
chr14random_Scaffold17481	unlocalized-scaffold	14	Chromosome	AADN04016531.1	=	NT_462416.1	Primary Assembly	4965	na
chr14random_Scaffold17621	unlocalized-scaffold	14	Chromosome	AADN04016666.1	=	NT_462417.1	Primary Assembly	4874	na
chr14random_Scaffold17822	unlocalized-scaffold	14	Chromosome	AADN04016861.1	=	NT_462418.1	Primary Assembly	4790	na
chr14random_Scaffold18065	unlocalized-scaffold	14	Chromosome	AADN04017095.1	=	NT_462419.1	Primary Assembly	4647	na
chr14random_Scaffold18198	unlocalized-scaffold	14	Chromosome	AADN04017220.1	=	NT_462420.1	Primary Assembly	4573	na
chr14random_Scaffold18203	unlocalized-scaffold	14	Chromosome	AADN04017225.1	=	NT_462421.1	Primary Assembly	4569	na
chr14random_Scaffold18560	unlocalized-scaffold	14	Chromosome	AADN04017567.1	=	NT_462422.1	Primary Assembly	4388	na
chr14random_Scaffold18813	unlocalized-scaffold	14	Chromosome	AADN04017815.1	=	NT_462423.1	Primary Assembly	4343	na
chr14random_Scaffold18815	unlocalized-scaffold	14	Chromosome	AADN04017817.1	=	NT_462424.1	Primary Assembly	4281	na
chr14random_Scaffold18937	unlocalized-scaffold	14	Chromosome	AADN04017936.1	=	NT_462425.1	Primary Assembly	4231	na
chr14random_Scaffold19103	unlocalized-scaffold	14	Chromosome	AADN04018090.1	=	NT_462426.1	Primary Assembly	4170	na
chr14random_Scaffold19393	unlocalized-scaffold	14	Chromosome	AADN04018364.1	=	NT_462427.1	Primary Assembly	3993	na
chr14random_Scaffold19821	unlocalized-scaffold	14	Chromosome	AADN04018774.1	=	NT_462428.1	Primary Assembly	3823	na
